"id_trabajo","titulo_id","empresa_id","salario_usd","moneda","nivel_experiencia","tipo_contrato","modalidad","anos_experiencia","industria_id","fecha_publicacion","fecha_limite_aplicacion","longitud_descripcion","escala_beneficios","residencia_empleado"
"AI00001",1,1,219728.0,"USD","ejecutivo","parcial","presencial",13,1,"2024-09-23","2024-10-31",1132,6.6,"Suecia"
"AI00002",2,2,230237.0,"JPY","ejecutivo","parcial","hibrido",10,1,"2024-07-26","2024-09-12",2299,8.5,"Japon"
"AI00003",3,3,128890.0,"EUR","ejecutivo","temporal","remoto",12,2,"2025-01-19","2025-03-28",1329,5.5,"Alemania"
"AI00004",4,4,96349.0,"USD","intermedio","autonomo","hibrido",2,2,"2024-07-20","2024-09-06",1132,6.8,"Finlandia"
"AI00005",5,5,63065.0,"EUR","principiante","completo","remoto",0,3,"2025-03-16","2025-05-09",2011,9.3,"Francia"
"AI00006",1,2,111794.0,"SGD","avanzado","temporal","hibrido",7,4,"2024-11-10","2025-01-20",1021,5.1,"Noruega"
"AI00007",6,6,113897.0,"CAD","avanzado","parcial","hibrido",9,5,"2024-02-29","2024-04-21",2268,7.4,"Polonia"
"AI00008",2,1,168639.0,"AUD","avanzado","completo","remoto",9,6,"2024-02-26","2024-03-17",1497,5.5,"Vietnam"
"AI00009",1,7,92624.0,"JPY","intermedio","completo","hibrido",4,7,"2024-08-18","2024-10-03",1724,9.5,"Japon"
"AI00010",7,8,215627.0,"GBP","ejecutivo","completo","hibrido",10,7,"2025-01-18","2025-03-20",902,7.8,"Reino Unido"
"AI00011",3,2,129706.0,"USD","intermedio","temporal","presencial",3,6,"2024-03-10","2024-05-17",2247,5.2,"Dinamarca"
"AI00012",8,9,76559.0,"USD","principiante","autonomo","remoto",1,7,"2025-02-09","2025-04-14",694,8.3,"Estados Unidos"
"AI00013",9,10,185834.0,"USD","ejecutivo","temporal","remoto",14,8,"2024-03-27","2024-06-03",1710,8.9,"Estados Unidos"
"AI00014",9,2,89801.0,"USD","intermedio","parcial","remoto",3,9,"2024-10-30","2025-01-06",1361,8.7,"Belgica"
"AI00015",9,1,252601.0,"USD","ejecutivo","parcial","remoto",19,5,"2024-07-24","2024-08-14",572,5.1,"Noruega"
"AI00016",10,11,20520.0,"USD","principiante","completo","presencial",0,5,"2024-08-22","2024-10-05",2455,7.5,"India"
"AI00017",5,3,192789.0,"CHF","avanzado","parcial","remoto",5,9,"2024-03-27","2024-06-08",524,5.9,"Suiza"
"AI00018",11,8,107184.0,"SGD","avanzado","autonomo","hibrido",7,2,"2024-05-07","2024-05-28",2111,9.2,"Singapur"
"AI00019",5,2,141909.0,"EUR","avanzado","completo","presencial",6,9,"2024-12-22","2025-01-20",1601,7.8,"Países Bajos"
"AI00020",3,1,118238.0,"USD","avanzado","autonomo","remoto",7,10,"2024-11-07","2025-01-02",2431,8.2,"Irlanda"
"AI00021",1,12,155210.0,"AUD","avanzado","parcial","presencial",7,11,"2025-01-24","2025-03-18",595,9.7,"Argentina"
"AI00022",3,1,96699.0,"AUD","avanzado","completo","presencial",5,4,"2025-03-29","2025-04-13",582,9.7,"Australia"
"AI00023",12,7,161477.0,"EUR","avanzado","completo","hibrido",8,12,"2025-02-04","2025-03-03",1861,9.5,"Francia"
"AI00024",12,10,316709.0,"USD","ejecutivo","temporal","hibrido",18,1,"2025-04-29","2025-06-21",1284,7.6,"Dinamarca"
"AI00025",13,11,62089.0,"CAD","intermedio","temporal","hibrido",3,13,"2024-03-18","2024-04-25",2264,9.7,"Singapur"
"AI00026",9,12,77985.0,"USD","principiante","temporal","presencial",0,2,"2025-03-07","2025-04-03",655,9.4,"Dinamarca"
"AI00027",5,13,55315.0,"EUR","principiante","parcial","presencial",0,13,"2025-01-09","2025-03-22",1107,9.5,"Austria"
"AI00028",14,8,246647.0,"SGD","ejecutivo","parcial","hibrido",16,8,"2024-08-08","2024-08-26",2347,6.6,"Singapur"
"AI00029",8,6,29050.0,"USD","principiante","completo","presencial",1,6,"2025-02-06","2025-03-19",555,5.2,"Alemania"
"AI00030",2,3,120599.0,"GBP","intermedio","temporal","hibrido",4,11,"2024-09-21","2024-11-07",699,6.4,"Reino Unido"
"AI00031",15,13,277727.0,"SGD","ejecutivo","parcial","hibrido",13,9,"2024-10-04","2024-11-05",529,9.0,"Singapur"
"AI00032",3,13,158734.0,"CAD","ejecutivo","parcial","hibrido",16,14,"2024-05-20","2024-07-29",1607,6.2,"Corea del Sur"
"AI00033",3,4,139438.0,"JPY","avanzado","autonomo","presencial",9,14,"2025-03-16","2025-05-12",1826,9.9,"Japon"
"AI00034",2,4,131432.0,"SGD","avanzado","parcial","hibrido",5,15,"2024-05-03","2024-07-15",1134,5.3,"Suecia"
"AI00035",16,8,140290.0,"USD","intermedio","parcial","hibrido",4,12,"2024-07-18","2024-09-26",2437,5.7,"Dinamarca"
"AI00036",17,7,90858.0,"EUR","intermedio","temporal","hibrido",2,12,"2024-08-13","2024-09-13",1793,7.1,"Francia"
"AI00037",18,9,126597.0,"GBP","avanzado","autonomo","hibrido",6,7,"2024-03-30","2024-04-13",2236,7.8,"Singapur"
"AI00038",14,10,53274.0,"USD","principiante","autonomo","remoto",0,2,"2025-03-22","2025-04-12",1444,6.0,"Finlandia"
"AI00039",11,2,155357.0,"USD","ejecutivo","autonomo","remoto",17,12,"2024-12-11","2025-01-01",830,5.2,"Francia"
"AI00040",9,3,116292.0,"EUR","intermedio","autonomo","hibrido",4,5,"2024-07-28","2024-09-06",2404,7.9,"Hungria"
"AI00041",4,1,140363.0,"EUR","avanzado","temporal","remoto",6,15,"2025-01-31","2025-04-06",1852,9.8,"Austria"
"AI00042",17,12,162306.0,"USD","avanzado","temporal","presencial",9,11,"2024-11-12","2024-12-08",1066,5.6,"Luxemburgo"
"AI00043",16,3,134224.0,"USD","ejecutivo","completo","presencial",16,4,"2024-10-13","2024-11-15",1743,6.6,"China"
"AI00044",17,9,77500.0,"GBP","intermedio","temporal","presencial",3,4,"2024-08-20","2024-10-29",811,10.0,"Noruega"
"AI00045",4,12,154083.0,"USD","avanzado","parcial","hibrido",7,15,"2024-01-09","2024-02-16",1969,7.7,"Irlanda"
"AI00046",7,2,79445.0,"USD","intermedio","autonomo","hibrido",4,12,"2024-09-28","2024-10-16",511,7.2,"Irlanda"
"AI00047",2,13,157466.0,"CHF","avanzado","autonomo","remoto",8,2,"2024-01-21","2024-03-03",547,5.2,"Suiza"
"AI00048",2,6,38972.0,"USD","intermedio","completo","presencial",4,12,"2024-01-28","2024-03-09",2163,7.1,"India"
"AI00049",8,8,66090.0,"CAD","intermedio","parcial","presencial",3,4,"2025-04-10","2025-04-29",1901,5.3,"Canada"
"AI00050",16,14,47943.0,"USD","intermedio","parcial","hibrido",2,3,"2024-11-23","2025-01-13",2483,6.2,"China"
"AI00051",13,4,217318.0,"USD","ejecutivo","parcial","remoto",17,3,"2024-11-14","2024-12-22",1647,7.8,"Malasia"
"AI00052",14,10,84705.0,"USD","intermedio","temporal","hibrido",3,7,"2024-12-19","2025-01-11",879,6.6,"Noruega"
"AI00053",19,4,36076.0,"USD","avanzado","completo","hibrido",7,13,"2024-08-14","2024-09-23",580,7.5,"India"
"AI00054",6,11,160216.0,"USD","ejecutivo","completo","remoto",15,10,"2024-05-09","2024-05-29",941,6.0,"Israel"
"AI00055",8,10,60826.0,"GBP","principiante","completo","presencial",0,11,"2024-11-02","2024-11-30",1731,6.3,"Reino Unido"
"AI00056",8,7,237320.0,"GBP","ejecutivo","parcial","presencial",16,12,"2024-11-12","2024-12-28",991,7.7,"Reino Unido"
"AI00057",5,13,60243.0,"EUR","principiante","autonomo","remoto",1,9,"2024-12-05","2024-12-20",1661,8.8,"Francia"
"AI00058",2,3,74091.0,"JPY","principiante","parcial","hibrido",1,6,"2025-01-18","2025-03-23",1295,7.2,"Japon"
"AI00059",15,9,68535.0,"EUR","principiante","completo","remoto",1,13,"2024-05-01","2024-06-17",1943,5.5,"Francia"
"AI00060",5,3,99401.0,"USD","intermedio","autonomo","hibrido",3,9,"2024-03-20","2024-04-20",1371,9.4,"Noruega"
"AI00061",11,5,67632.0,"USD","principiante","completo","presencial",0,7,"2024-07-13","2024-08-10",2133,8.9,"Irlanda"
"AI00062",13,12,133163.0,"EUR","avanzado","temporal","presencial",6,13,"2025-01-03","2025-01-21",2141,7.9,"Países Bajos"
"AI00063",5,9,125752.0,"USD","intermedio","completo","presencial",4,2,"2024-05-17","2024-06-24",2390,6.0,"Noruega"
