"id_trabajo","titulo","salario_usd","moneda","nivel_experiencia","tipo_contrato","localizacion","tamano_empresa","modalidad","habilidades","titulacion","anos_experiencia","industria","fecha_publicacion","fecha_limite_aplicacion","longitud_descripcion","escala_beneficios","empresa","residencia_empleado"
"AI00001","Cientifico de Datos",219728.0,"USD","ejecutivo","parcial","Suecia","mediana","presencial","Computer Vision, Docker, Python, R","grado",13,"transporte","2024-09-23","2024-10-31",1132,6.6,"TechCorp Inc","Suecia"
"AI00002","Director/a de Inteligencia Artificial",230237.0,"JPY","ejecutivo","parcial","Japon","grande","hibrido","Kubernetes, MLOps, Python, Tableau","doctorado",10,"transporte","2024-07-26","2024-09-12",2299,8.5,"Cloud AI Solutions","Japon"
"AI00003","Ingeniero de Datos",128890.0,"EUR","ejecutivo","temporal","Alemania","pequeña","remoto","GCP, Hadoop, PyTorch, Scala, Spark","grado",12,"automocion","2025-01-19","2025-03-28",1329,5.5,"Quantum Computing Inc","Alemania"
"AI00004","Ingeniero de Vision por Computadora",96349.0,"USD","intermedio","autonomo","Finlandia","grande","hibrido","Linux, MLOps, Python, Tableau","tecnico superior",2,"automocion","2024-07-20","2024-09-06",1132,6.8,"Cognitive Computing","Finlandia"
"AI00005","Ingeniero de Robotica",63065.0,"EUR","principiante","completo","Francia","pequeña","remoto","GCP, Python, R, Scala, SQL","doctorado",0,"finanzas","2025-03-16","2025-05-09",2011,9.3,"Advanced Robotics","Francia"
"AI00006","Cientifico de Datos",111794.0,"SGD","avanzado","temporal","Singapur","grande","hibrido","MLOps, NLP, TensorFlow","grado",7,"tecnologia","2024-11-10","2025-01-20",1021,5.1,"Cloud AI Solutions","Noruega"
"AI00007","Consultor de IA",113897.0,"CAD","avanzado","parcial","Canada","grande","hibrido","Linux, NLP, PyTorch","doctorado",9,"videojuegos","2024-02-29","2024-04-21",2268,7.4,"AI Innovations","Polonia"
"AI00008","Director/a de Inteligencia Artificial",168639.0,"AUD","avanzado","completo","Australia","mediana","remoto","Computer Vision, Linux, Spark, SQL, Tableau","doctorado",9,"consultoria","2024-02-26","2024-03-17",1497,5.5,"TechCorp Inc","Vietnam"
"AI00009","Cientifico de Datos",92624.0,"JPY","intermedio","completo","Japon","grande","hibrido","Deep Learning, Docker, Kubernetes, SQL","grado",4,"politica","2024-08-18","2024-10-03",1724,9.5,"DataVision Ltd","Japon"
"AI00010","Ingeniero de Aprendizaje Automatico",215627.0,"GBP","ejecutivo","completo","Reino Unido","mediana","hibrido","GCP, Git, Scala","grado",10,"politica","2025-01-18","2025-03-20",902,7.8,"DeepTech Ventures","Reino Unido"
