"id_trabajo","titulo","salario_usd","moneda","nivel_experiencia","tipo_contrato","localizacion","tamano_empresa","modalidad","habilidades","titulacion","anos_experiencia","industria","fecha_publicacion","fecha_limite_aplicacion","longitud_descripcion","escala_beneficios","empresa","residencia_empleado"
"AI00001","Cientifico de Datos",219728,"USD","ejecutivo","parcial","Suecia","mediana","presencial","Python, Computer Vision, R, Docker","tecnico superior",13,"transporte","2024-09-23","2024-10-31",1132,6.6,"TechCorp Inc","Suecia"
"AI00002","Director/a de Inteligencia Artificial",230237,"JPY","ejecutivo","parcial","Japon","grande","hibrido","Kubernetes, MLOps, Tableau, Python","grado",10,"transporte","2024-07-26","2024-09-12",2299,8.5,"Cloud AI Solutions","Japon"
"AI00003","Ingeniero de Datos",128890,"EUR","ejecutivo","temporal","Alemania","pequeña","remoto","Spark, Scala, Hadoop, PyTorch, GCP","grado",12,"automocion","2025-01-19","2025-03-28",1329,5.5,"Quantum Computing Inc","Alemania"
"AI00004","Ingeniero de Vision por Computadora",96349,"USD","intermedio","autonomo","Finlandia","grande","hibrido","MLOps, Linux, Tableau, Python","doctorado",2,"automocion","2024-07-20","2024-09-06",1132,6.8,"Cognitive Computing","Finlandia"
"AI00005","Ingeniero de Robotica",63065,"EUR","principiante","completo","Francia","pequeña","remoto","R, Scala, SQL, GCP, Python","tecnico superior",0,"finanzas","2025-03-16","2025-05-09",2011,9.3,"Advanced Robotics","Francia"
"AI00006","Cientifico de Datos",111794,"SGD","avanzado","temporal","Singapur","pequeña","hibrido","NLP, MLOps, TensorFlow","master",7,"tecnologia","2024-11-10","2025-01-20",1021,5.1,"Cloud AI Solutions","Noruega"
"AI00007","Consultor de IA",113897,"CAD","avanzado","parcial","Canada","grande","hibrido","PyTorch, Linux, NLP","tecnico superior",9,"videojuegos","2024-02-29","2024-04-21",2268,7.4,"AI Innovations","Polonia"
"AI00008","Director/a de Inteligencia Artificial",168639,"AUD","avanzado","completo","Australia","grande","remoto","Spark, SQL, Tableau, Computer Vision, Linux","tecnico superior",9,"consultoria","2024-02-26","2024-03-17",1497,5.5,"TechCorp Inc","Vietnam"
"AI00009","Cientifico de Datos",92624,"JPY","intermedio","completo","Japon","grande","hibrido","Kubernetes, SQL, Docker, Deep Learning","grado",4,"politica","2024-08-18","2024-10-03",1724,9.5,"DataVision Ltd","Japon"
"AI00010","Ingeniero de Aprendizaje Automatico",215627,"GBP","ejecutivo","completo","Reino Unido","mediana","hibrido","Git, Scala, GCP","doctorado",10,"politica","2025-01-18","2025-03-20",902,7.8,"DeepTech Ventures","Reino Unido"
"AI00011","Ingeniero de Datos",129706,"USD","intermedio","temporal","Dinamarca","grande","presencial","SQL, PyTorch, Statistics, TensorFlow, NLP","grado",3,"consultoria","2024-03-10","2024-05-17",2247,5.2,"Cloud AI Solutions","Dinamarca"
"AI00012","Ingeniero de Aprendizaje Profundo",76559,"USD","principiante","autonomo","Estados Unidos","pequeña","remoto","Data Visualization, Mathematics, PyTorch, GCP","grado",1,"politica","2025-02-09","2025-04-14",694,8.3,"Machine Intelligence Group","Estados Unidos"
"AI00013","Cientifico/a de Datos Principal",185834,"USD","ejecutivo","temporal","Estados Unidos","grande","remoto","Linux, Data Visualization, Python, TensorFlow","tecnico superior",14,"telecomunicaciones","2024-03-27","2024-06-03",1710,8.9,"Autonomous Tech","Estados Unidos"
"AI00014","Cientifico/a de Datos Principal",89801,"USD","intermedio","parcial","Suecia","mediana","remoto","Linux, MLOps, Deep Learning","master",3,"salud","2024-10-30","2025-01-06",1361,8.7,"Cloud AI Solutions","Belgica"
"AI00015","Cientifico/a de Datos Principal",252601,"USD","ejecutivo","parcial","Noruega","grande","remoto","Kubernetes, SQL, AWS, Git, Computer Vision","master",19,"videojuegos","2024-07-24","2024-08-14",572,5.1,"TechCorp Inc","Noruega"
"AI00016","Gerente de Producto de IA",20520,"USD","principiante","completo","India","pequeña","presencial","Hadoop, Git, Computer Vision, Kubernetes, Data Visualization","master",0,"videojuegos","2024-08-22","2024-10-05",2455,7.5,"Predictive Systems","India"
"AI00017","Ingeniero de Robotica",192789,"CHF","avanzado","parcial","Suiza","pequeña","remoto","Tableau, Git, Python, Java","master",5,"salud","2024-03-27","2024-06-08",524,5.9,"Quantum Computing Inc","Suiza"
"AI00018","Investigador/a en Machine Learning",107184,"SGD","avanzado","autonomo","Singapur","pequeña","hibrido","Azure, GCP, Computer Vision","master",7,"automocion","2024-05-07","2024-05-28",2111,9.2,"DeepTech Ventures","Singapur"
"AI00019","Ingeniero de Robotica",141909,"EUR","avanzado","completo","Paises Bajos","mediana","presencial","Git, Kubernetes, MLOps, Spark","tecnico superior",6,"salud","2024-12-22","2025-01-20",1601,7.8,"Cloud AI Solutions","Países Bajos"
"AI00020","Ingeniero de Datos",118238,"USD","avanzado","autonomo","Irlanda","mediana","remoto","AWS, Python, Azure, SQL, Computer Vision","tecnico superior",7,"educacion","2024-11-07","2025-01-02",2431,8.2,"TechCorp Inc","Irlanda"
"AI00021","Cientifico de Datos",155210,"AUD","avanzado","parcial","Australia","grande","presencial","Spark, NLP, AWS","master",7,"energia","2025-01-24","2025-03-18",595,9.7,"Neural Networks Co","Argentina"
"AI00022","Ingeniero de Datos",96699,"AUD","avanzado","completo","Australia","pequeña","presencial","GCP, Linux, Mathematics","doctorado",5,"tecnologia","2025-03-29","2025-04-13",582,9.7,"TechCorp Inc","Australia"
"AI00023","Ingeniero de Software de IA",161477,"EUR","avanzado","completo","Francia","grande","hibrido","Mathematics, Spark, Linux","grado",8,"inmobiliaria","2025-02-04","2025-03-03",1861,9.5,"DataVision Ltd","Francia"
"AI00024","Ingeniero de Software de IA",316709,"USD","ejecutivo","temporal","Dinamarca","grande","hibrido","Data Visualization, Azure, Statistics","doctorado",18,"transporte","2025-04-29","2025-06-21",1284,7.6,"Autonomous Tech","Dinamarca"
"AI00025","Ingeniero/a de Operaciones de Aprendizaje Automatico",62089,"CAD","intermedio","temporal","Canada","pequeña","hibrido","Python, GCP, Linux, SQL, Deep Learning","doctorado",3,"medios","2024-03-18","2024-04-25",2264,9.7,"Predictive Systems","Singapur"
"AI00026","Cientifico/a de Datos Principal",77985,"USD","principiante","temporal","Dinamarca","pequeña","presencial","SQL, TensorFlow, Computer Vision, Kubernetes","tecnico superior",0,"automocion","2025-03-07","2025-04-03",655,9.4,"Neural Networks Co","Dinamarca"
"AI00027","Ingeniero de Robotica",55315,"EUR","principiante","parcial","Austria","pequeña","presencial","Spark, Deep Learning, SQL, NLP, Python","doctorado",0,"medios","2025-01-09","2025-03-22",1107,9.5,"Future Systems","Austria"
"AI00028","Arquitecto de IA",246647,"SGD","ejecutivo","parcial","Singapur","mediana","hibrido","Scala, Mathematics, SQL","master",16,"telecomunicaciones","2024-08-08","2024-08-26",2347,6.6,"DeepTech Ventures","Singapur"
"AI00029","Ingeniero de Aprendizaje Profundo",29050,"USD","principiante","completo","China","pequeña","presencial","PyTorch, Kubernetes, Deep Learning, Hadoop","tecnico superior",1,"consultoria","2025-02-06","2025-03-19",555,5.2,"AI Innovations","Alemania"
"AI00030","Director/a de Inteligencia Artificial",120599,"GBP","intermedio","temporal","Reino Unido","grande","hibrido","Linux, AWS, Python","master",4,"energia","2024-09-21","2024-11-07",699,6.4,"Quantum Computing Inc","Reino Unido"
"AI00031","Especialista en IA",277727,"SGD","ejecutivo","parcial","Singapur","grande","hibrido","Python, Git, TensorFlow","tecnico superior",13,"salud","2024-10-04","2024-11-05",529,9.0,"Future Systems","Singapur"
"AI00032","Ingeniero de Datos",158734,"CAD","ejecutivo","parcial","Canada","pequeña","hibrido","Data Visualization, NLP, Computer Vision","master",16,"minorista","2024-05-20","2024-07-29",1607,6.2,"Future Systems","Corea del Sur"
"AI00033","Ingeniero de Datos",139438,"JPY","avanzado","autonomo","Japon","grande","presencial","Python, Spark, Git, Data Visualization, Docker","doctorado",9,"minorista","2025-03-16","2025-05-12",1826,9.9,"Cognitive Computing","Japon"
"AI00034","Director/a de Inteligencia Artificial",131432,"SGD","avanzado","parcial","Singapur","mediana","hibrido","Kubernetes, Data Visualization, Deep Learning, Azure, Computer Vision","master",5,"manufactura","2024-05-03","2024-07-15",1134,5.3,"Cognitive Computing","Suecia"
"AI00035","Analista de Datos",140290,"USD","intermedio","parcial","Dinamarca","grande","hibrido","PyTorch, SQL, R, Azure","tecnico superior",4,"inmobiliaria","2024-07-18","2024-09-26",2437,5.7,"DeepTech Ventures","Dinamarca"
"AI00036","Cientifico Investigador",90858,"EUR","intermedio","temporal","Francia","grande","hibrido","Scala, PyTorch, Deep Learning, Kubernetes, Java","grado",2,"inmobiliaria","2024-08-13","2024-09-13",1793,7.1,"DataVision Ltd","Francia"
"AI00037","Ingeniero/a de Sistemas Autonomos",126597,"GBP","avanzado","autonomo","Reino Unido","grande","hibrido","PyTorch, Java, TensorFlow, Computer Vision, SQL","master",6,"politica","2024-03-30","2024-04-13",2236,7.8,"Machine Intelligence Group","Singapur"
"AI00038","Arquitecto de IA",53274,"USD","principiante","autonomo","Finlandia","mediana","remoto","Spark, Python, Statistics, Hadoop, TensorFlow","tecnico superior",0,"automocion","2025-03-22","2025-04-12",1444,6.0,"Autonomous Tech","Finlandia"
"AI00039","Investigador/a en Machine Learning",155357,"USD","ejecutivo","autonomo","Suecia","pequeña","remoto","TensorFlow, SQL, Computer Vision, Kubernetes","grado",17,"inmobiliaria","2024-12-11","2025-01-01",830,5.2,"Cloud AI Solutions","Francia"
"AI00040","Cientifico/a de Datos Principal",116292,"EUR","intermedio","autonomo","Paises Bajos","mediana","hibrido","Java, Docker, Python","grado",4,"videojuegos","2024-07-28","2024-09-06",2404,7.9,"Quantum Computing Inc","Hungria"
"AI00041","Ingeniero de Vision por Computadora",140363,"EUR","avanzado","temporal","Austria","grande","remoto","MLOps, Hadoop, TensorFlow, Kubernetes","master",6,"manufactura","2025-01-31","2025-04-06",1852,9.8,"TechCorp Inc","Austria"
"AI00042","Cientifico Investigador",162306,"USD","avanzado","temporal","Israel","grande","presencial","Statistics, SQL, Tableau, Hadoop, R","master",9,"energia","2024-11-12","2024-12-08",1066,5.6,"Neural Networks Co","Luxemburgo"
"AI00043","Analista de Datos",134224,"USD","ejecutivo","completo","China","grande","presencial","Python, SQL, Git","master",16,"tecnologia","2024-10-13","2024-11-15",1743,6.6,"Quantum Computing Inc","China"
"AI00044","Cientifico Investigador",77500,"GBP","intermedio","temporal","Reino Unido","pequeña","presencial","Mathematics, Hadoop, TensorFlow","doctorado",3,"tecnologia","2024-08-20","2024-10-29",811,10.0,"Machine Intelligence Group","Noruega"
"AI00045","Ingeniero de Vision por Computadora",154083,"USD","avanzado","parcial","Irlanda","grande","hibrido","Hadoop, Python, Deep Learning","tecnico superior",7,"manufactura","2024-01-09","2024-02-16",1969,7.7,"Neural Networks Co","Irlanda"
"AI00046","Ingeniero de Aprendizaje Automatico",79445,"USD","intermedio","autonomo","Irlanda","mediana","hibrido","Python, Statistics, TensorFlow, Computer Vision","grado",4,"inmobiliaria","2024-09-28","2024-10-16",511,7.2,"Cloud AI Solutions","Irlanda"
"AI00047","Director/a de Inteligencia Artificial",157466,"CHF","avanzado","autonomo","Suiza","mediana","remoto","Git, Data Visualization, Spark, Computer Vision, Azure","tecnico superior",8,"automocion","2024-01-21","2024-03-03",547,5.2,"Future Systems","Suiza"
"AI00048","Director/a de Inteligencia Artificial",38972,"USD","intermedio","completo","India","grande","presencial","Kubernetes, Mathematics, TensorFlow, MLOps","doctorado",4,"inmobiliaria","2024-01-28","2024-03-09",2163,7.1,"AI Innovations","India"
"AI00049","Ingeniero de Aprendizaje Profundo",66090,"CAD","intermedio","parcial","Canada","pequeña","presencial","AWS, SQL, R, Scala","doctorado",3,"tecnologia","2025-04-10","2025-04-29",1901,5.3,"DeepTech Ventures","Canada"
"AI00050","Analista de Datos",47943,"USD","intermedio","parcial","China","grande","hibrido","TensorFlow, Mathematics, NLP, Docker","doctorado",2,"finanzas","2024-11-23","2025-01-13",2483,6.2,"Smart Analytics","China"
"AI00051","Ingeniero/a de Operaciones de Aprendizaje Automatico",217318,"USD","ejecutivo","parcial","Irlanda","mediana","remoto","SQL, PyTorch, Hadoop","grado",17,"finanzas","2024-11-14","2024-12-22",1647,7.8,"Cognitive Computing","Malasia"
"AI00052","Arquitecto de IA",84705,"USD","intermedio","temporal","Noruega","pequeña","hibrido","Scala, Spark, PyTorch","doctorado",3,"politica","2024-12-19","2025-01-11",879,6.6,"Autonomous Tech","Noruega"
"AI00053","Ingeniero de Procesamiento de Lenguaje Natural",36076,"USD","avanzado","completo","India","mediana","hibrido","Python, TensorFlow, Data Visualization","master",7,"medios","2024-08-14","2024-09-23",580,7.5,"Cognitive Computing","India"
"AI00054","Consultor de IA",160216,"USD","ejecutivo","completo","Israel","grande","remoto","Deep Learning, Linux, Python, SQL","master",15,"educacion","2024-05-09","2024-05-29",941,6.0,"Predictive Systems","Israel"
"AI00055","Ingeniero de Aprendizaje Profundo",60826,"GBP","principiante","completo","Reino Unido","pequeña","presencial","SQL, Kubernetes, Azure","grado",0,"energia","2024-11-02","2024-11-30",1731,6.3,"Autonomous Tech","Reino Unido"
"AI00056","Ingeniero de Aprendizaje Profundo",237320,"GBP","ejecutivo","parcial","Reino Unido","mediana","presencial","Kubernetes, MLOps, Scala","grado",16,"inmobiliaria","2024-11-12","2024-12-28",991,7.7,"DataVision Ltd","Reino Unido"
"AI00057","Ingeniero de Robotica",60243,"EUR","principiante","autonomo","Francia","mediana","remoto","Scala, PyTorch, Data Visualization, Linux, Mathematics","master",1,"salud","2024-12-05","2024-12-20",1661,8.8,"Future Systems","Francia"
"AI00058","Director/a de Inteligencia Artificial",74091,"JPY","principiante","parcial","Japon","mediana","hibrido","Deep Learning, NLP, R, Linux, SQL","grado",1,"consultoria","2025-01-18","2025-03-23",1295,7.2,"Quantum Computing Inc","Japon"
"AI00059","Especialista en IA",68535,"EUR","principiante","completo","Francia","grande","remoto","SQL, Scala, PyTorch","tecnico superior",1,"medios","2024-05-01","2024-06-17",1943,5.5,"Machine Intelligence Group","Francia"
"AI00060","Ingeniero de Robotica",99401,"USD","intermedio","autonomo","Noruega","pequeña","hibrido","Hadoop, Kubernetes, Data Visualization, Python, Linux","grado",3,"salud","2024-03-20","2024-04-20",1371,9.4,"Quantum Computing Inc","Noruega"
"AI00061","Investigador/a en Machine Learning",67632,"USD","principiante","completo","Irlanda","grande","presencial","Linux, GCP, Deep Learning","master",0,"politica","2024-07-13","2024-08-10",2133,8.9,"Advanced Robotics","Irlanda"
"AI00062","Ingeniero/a de Operaciones de Aprendizaje Automatico",133163,"EUR","avanzado","temporal","Paises Bajos","mediana","presencial","SQL, Statistics, MLOps, PyTorch, Kubernetes","tecnico superior",6,"medios","2025-01-03","2025-01-21",2141,7.9,"Neural Networks Co","Países Bajos"
"AI00063","Ingeniero de Robotica",125752,"USD","intermedio","completo","Noruega","pequeña","presencial","NLP, Statistics, Scala","master",4,"automocion","2024-05-17","2024-06-24",2390,6.0,"Machine Intelligence Group","Noruega"
"AI00064","Gerente de Producto de IA",70927,"JPY","principiante","temporal","Japon","mediana","presencial","Git, Computer Vision, Docker, SQL, Hadoop","tecnico superior",1,"tecnologia","2024-03-07","2024-04-05",1847,9.3,"Quantum Computing Inc","Japon"
"AI00065","Ingeniero de Datos",80810,"GBP","principiante","parcial","Reino Unido","grande","presencial","Azure, MLOps, Python, Linux, TensorFlow","master",1,"energia","2024-10-30","2025-01-01",1476,5.4,"Algorithmic Solutions","Reino Unido"
"AI00066","Ingeniero de Aprendizaje Automatico",59614,"SGD","principiante","temporal","Singapur","pequeña","remoto","Java, Kubernetes, GCP, Linux, Data Visualization","tecnico superior",1,"salud","2024-11-07","2024-12-19",1581,7.3,"Quantum Computing Inc","Singapur"
"AI00067","Ingeniero de Robotica",151907,"EUR","ejecutivo","completo","Alemania","pequeña","hibrido","Python, R, MLOps","tecnico superior",16,"medios","2024-09-21","2024-10-16",1433,6.1,"Quantum Computing Inc","Ghana"
"AI00068","Cientifico de Datos",76317,"USD","ejecutivo","temporal","India","mediana","presencial","TensorFlow, Deep Learning, Spark","grado",14,"energia","2024-06-19","2024-07-15",1228,9.1,"DataVision Ltd","India"
"AI00069","Investigador de IA",160534,"USD","avanzado","autonomo","Dinamarca","mediana","remoto","GCP, SQL, MLOps","master",9,"videojuegos","2024-06-10","2024-07-07",1651,8.3,"Advanced Robotics","Dinamarca"
"AI00070","Consultor de IA",40687,"USD","intermedio","completo","India","grande","hibrido","SQL, R, GCP, PyTorch, AWS","master",3,"transporte","2024-07-16","2024-08-25",804,7.3,"Algorithmic Solutions","India"
"AI00071","Ingeniero de Vision por Computadora",129265,"AUD","avanzado","autonomo","Australia","pequeña","presencial","Java, Scala, TensorFlow","master",5,"consultoria","2025-04-06","2025-05-07",2410,6.9,"DataVision Ltd","Australia"
"AI00072","Ingeniero de Procesamiento de Lenguaje Natural",94396,"USD","ejecutivo","parcial","China","mediana","remoto","Scala, Python, Tableau, Mathematics","master",18,"politica","2024-07-30","2024-08-18",1033,9.5,"Advanced Robotics","China"
"AI00073","Ingeniero de Procesamiento de Lenguaje Natural",158237,"USD","ejecutivo","temporal","Corea del Sur","grande","presencial","Python, NLP, GCP","master",11,"finanzas","2025-01-24","2025-03-29",1676,6.0,"Quantum Computing Inc","Corea del Sur"
"AI00074","Ingeniero de Robotica",239068,"USD","ejecutivo","parcial","Dinamarca","grande","hibrido","TensorFlow, Java, NLP, Hadoop, GCP","doctorado",18,"medios","2024-08-26","2024-10-30",1321,6.8,"Autonomous Tech","Dinamarca"
"AI00075","Ingeniero de Robotica",81401,"USD","intermedio","autonomo","Finlandia","mediana","presencial","Java, Spark, Data Visualization, AWS, Git","tecnico superior",2,"minorista","2025-02-07","2025-04-11",1930,6.3,"Future Systems","Belgica"
"AI00076","Especialista en IA",144229,"CHF","intermedio","completo","Suiza","mediana","presencial","Python, TensorFlow, MLOps, PyTorch","doctorado",2,"medios","2024-01-02","2024-03-02",1213,9.5,"DeepTech Ventures","Japon"
"AI00077","Consultor de IA",78936,"EUR","intermedio","autonomo","Alemania","pequeña","presencial","Mathematics, Tableau, R, NLP, SQL","grado",4,"consultoria","2024-11-30","2025-01-03",697,6.9,"Cloud AI Solutions","Alemania"
